Vía,Frontera,viajeros_acumulados,participacion_en_via
Aérea,01 La Aurora,19029567.24839665,0.9982016781055425
Aérea,02 Mundo Maya,34267.93918498563,0.001797535064942342
Aérea,20 Melchor de Mencos,15.0,7.868295151506769e-07
Marítima,03 Puerto Quetzal,741515.6342060212,0.60345580762578
Marítima,04 Santo Tomás de Castilla,347377.3657939788,0.28270056510754454
Marítima,05 Puerto Barrios,62242.0,0.050653411264162396
Marítima,06 Livingston,51617.0,0.042006637467020186
Marítima,Cruceros,26030.0,0.02118357853549287
Terrestre,07 Valle Nuevo,10732340.48923108,0.33543485585558963
Terrestre,09 San Cristóbal,5363009.008367814,0.1676186247984918
Terrestre,08 Pedro de Alvarado,4393577.482680648,0.1373194440739305
Terrestre,10 La Ermita (Nueva Anguiatú),2879210.144925561,0.0899885202962146
Terrestre,20 Melchor de Mencos,2349536.0311426823,0.07343377530042605
Terrestre,13 El Cinchado / El Corinto,1497006.4230710664,0.04678831558145165
Terrestre,12 El Florido,1221039.8854890994,0.03816309577523533
Terrestre,11 Agua Caliente,1154542.4281519472,0.036084745294365624
Terrestre,15 El Carmen,1023092.4230100734,0.03197632984004565
Terrestre,14 Tecún Umán,655371.7505962565,0.020483372561061076
Terrestre,16 La Mesilla,471849.26570148667,0.014747453324366491
Terrestre,19 Gracias a Dios,123104.91352889322,0.003847593073115183
Terrestre,17 El Naranjo,65788.89849236512,0.0020562047677137726
Terrestre,18 Bethel,60956.76170443011,0.0019051783342380678
Terrestre,01 La Aurora,4828.0,0.00015089713988256204
Terrestre,22 Otra frontera,49.0,1.5314747005479579e-06
Terrestre,02 Mundo Maya,2.0,6.250917145093705e-08
