region,modelo_arima,p,d,q,P,D,Q,s,AIC,BIC,MAE_prueba,RMSE_prueba,convergio,estado
América Del Centro,"ARIMA(1, 1, 1)",1,1,1,0,0,0,0,84.88514124056742,93.79458113929542,106457.75804644794,118471.34329694805,True,ok
América Del Centro,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",0,1,1,0,1,1,12,58.68934374740405,67.0518189757502,146716.37590339646,157634.36739391007,True,ok
América Del Centro,"SARIMA(1, 1, 1)x(0, 1, 1, 12)",1,1,1,0,1,1,12,60.62441297439895,71.77437994552713,146718.51879091325,157637.4413693541,True,ok
América Del Centro,"SARIMA(2, 1, 0)x(1, 1, 0, 12)",2,1,0,1,1,0,12,51.191960744822254,62.34192771595043,150633.6888379666,163951.1137437306,True,ok
América Del Centro,"SARIMA(1, 0, 1)x(1, 1, 1, 12)",1,0,1,1,1,1,12,49.42559734974631,63.40455007773002,122677.40887278528,136976.66748355175,True,ok
América Del Norte,"ARIMA(1, 0, 1)",1,0,1,0,0,0,0,426.81054838715113,438.71748335683344,32062.069173231655,36530.65162483849,True,ok
América Del Norte,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",0,0,1,0,1,1,12,460.5055742836801,468.89294592047037,45123.46265043944,49498.69361883013,True,ok
América Del Norte,"SARIMA(1, 0, 1)x(0, 1, 1, 12)",1,0,1,0,1,1,12,376.61017689237457,387.79333907476155,45387.791087763966,49699.533402900204,True,ok
América Del Norte,"SARIMA(2, 0, 0)x(1, 1, 0, 12)",2,0,0,1,1,0,12,372.3385925165265,383.52175469891347,1.2870349381562162e+21,6.199754338928318e+21,True,ok
América Del Norte,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",1,1,1,1,1,1,12,381.8942926323023,395.83175134621257,1.6720175928275427e+23,7.768686486298256e+23,True,ok
Europa,"ARIMA(1, 0, 1)",1,0,1,0,0,0,0,360.8569155922222,372.7638505619045,6420.05704441522,7823.857427618244,True,ok
Europa,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",0,0,1,0,1,1,12,418.42760328720544,426.8149749239957,10249.223310253683,11225.557142113856,True,ok
Europa,"SARIMA(1, 0, 1)x(0, 1, 1, 12)",1,0,1,0,1,1,12,313.8367458571627,325.0199080395497,10088.321228950092,11039.347517583423,True,ok
Europa,"SARIMA(2, 0, 0)x(1, 1, 0, 12)",2,0,0,1,1,0,12,313.25462115521293,324.4377833375999,10159.295004562933,11319.8079264856,True,ok
Europa,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",1,1,1,1,1,1,12,320.96470058830835,334.9021593022186,11364.0572563724,12601.588960833358,True,ok
