region,modelo,inicio_train,fin_train,inicio_prueba,fin_prueba,n_train,n_prueba,MAE,RMSE,AIC,BIC,escala_AIC_BIC,configuracion,escala_residuos,media_residuos,desviacion_residuos,ljung_box_p_12,jarque_bera_p,mejor_por_rmse,seleccion_final
América Del Centro,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,106457.75804644794,118471.34329694805,84.88514124056742,93.79458113929542,log1p,"ARIMA(1, 1, 1)",log1p,-0.008482848928202604,0.33336229807030043,0.1169202900556507,0.0,False,False
América Del Centro,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,134400.17511733677,144899.30291265127,,,no aplica,,original,-6979.185384416621,78651.66522451604,2.0269304129573784e-79,1.32601850922424e-72,False,False
América Del Centro,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,109866.611642965,121961.40869273666,3114.8595981768863,3120.8404633504438,original,,original,-401.5472646776775,39518.18022044747,1.6391180693861213e-14,1.1042722912998494e-09,False,False
América Del Centro,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,108093.7431362161,117677.04267263017,3049.7772892553694,3100.6146432306077,original,,original,-485.32103314518406,28595.764123496,0.782144680441842,5.901956217356013e-170,True,True
América Del Centro,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,150659.45140942122,163983.9622791675,,,no disponible,,original,43.24706792095589,44452.72698262791,1.9151077700866985e-54,5.492711246337201e-09,False,False
América Del Norte,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,32062.069173231655,36530.65162483849,426.81054838715113,438.71748335683344,log1p,"ARIMA(1, 0, 1)",log1p,-0.011104312164414772,1.1107247957777744,0.009987106925718647,0.0,True,False
América Del Norte,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,49974.107805670385,53533.367252557415,,,no aplica,,original,-2510.3844537490572,14305.60202387615,1.4604242452739283e-71,1.1291324433613148e-96,False,False
América Del Norte,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,39603.73940672723,44300.51666940236,2735.100666987572,2741.0815321611294,original,,original,-306.96050918817525,10855.95110365074,1.8812951773094077e-21,0.22427750671554492,False,False
América Del Norte,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,40351.56877792661,43885.61702093133,2576.048433371499,2626.8857873467373,original,,original,-131.30747253219732,5707.6911024943565,0.46873246332534824,2.804643390719232e-231,False,True
América Del Norte,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,52423.279912530445,57867.621647915905,,,no disponible,,original,24.307224166692716,8494.10314396763,3.440728452825508e-48,9.57691966643145e-20,False,False
Europa,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,6420.05704441522,7823.857427618244,360.8569155922222,372.7638505619045,log1p,"ARIMA(1, 0, 1)",log1p,-0.00729323074178911,0.8810121961756531,0.06428823350747682,0.0,True,True
Europa,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,11075.465321392088,12134.507494094238,,,no aplica,,original,-769.7165938635841,3502.8716793047824,4.579840601508549e-76,9.392063218966459e-88,False,False
Europa,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,9571.370475987882,10978.125393380526,2329.665040335185,2335.6459055087425,original,,original,-90.19761028823748,2733.3695765787706,1.4964452737980354e-24,0.04955139798453906,False,False
Europa,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,10926.055390722999,11952.090827830001,2161.49716616172,2212.3345201369584,original,,original,-69.74427431966538,1392.0542451441106,0.06259126500337833,0.0,False,False
Europa,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,11477.098805103582,12862.850178351377,,,no disponible,,original,-9.654533762082492,1972.4422858090131,5.06697593790539e-38,9.158911950214428e-18,False,False
