Año,Cruceristas,Excursionista,Turista,Viajero
2009,81346.0,264098.158125827,1616084.693688594,67246.8727623926
2010,72488.0,300003.08175610023,1704780.9176259346,75626.85433129454
2011,72350.0,324187.0768539987,1755527.5257687867,79391.50347013428
2012,72846.0,359304.1586708434,1780237.3223035685,87428.09834743156
2013,71690.0,379114.56100704265,1910588.1914788492,70776.2259331559
2014,70601.0,449257.85063457047,2210919.4662294677,31823.647474602945
2015,77195.0,505124.35184596805,2412761.6885101423,46561.54232605582
2016,103712.0,359603.13610189664,2637423.6083389116,395478.09190180677
2017,129063.0,582839.9996308206,2724811.2873582267,484746.0140175302
2018,150392.0,784281.4804376883,3009479.376873507,312195.79915225157
2019,130789.0,1081250.8487658363,3050999.753111158,428780.5985579603
2020,41992.0,262573.14457340434,797197.2877297457,164577.7114930474
2021,3908.0,82470.04782608696,1016494.3308635838,164895.38779681353
2022,26030.0,550371.0,2678957.6,1060805.8
2023,0.0,793847.0583042942,2123979.7530183205,330882.1886773848
2024,0.0,833527.4868539597,2440908.508281637,319440.00486440375
2025,0.0,811391.5154663201,2540897.1420421354,244949.34249154432
2026,0.0,345939.37953839585,1230680.0969018855,106016.52355971861
