fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2021-04-01,América Del Centro,37903.0,56541.86257527892,10039.0,51844.24512196351,61629.341145975704,93308.66355383935
2021-05-01,América Del Centro,49645.0,55474.060434065985,9779.0,51844.24512196351,35848.47491325799,72675.76868014615
2021-06-01,América Del Centro,60745.0,55860.367854611264,11817.0,51844.24512196351,43064.85452788423,70536.13778491989
2021-07-01,América Del Centro,64960.0,55719.44813026305,13484.0,51844.24512196351,57816.56181165373,73914.35285376581
2021-08-01,América Del Centro,51192.0,55770.69931659941,15357.0,51844.24512196351,66975.64986993148,73391.75119939233
2021-09-01,América Del Centro,48794.0,55752.03930261289,11220.49268292683,51844.24512196351,36430.07784842288,56100.333134046385
2021-10-01,América Del Centro,59170.0,55758.83050743835,14208.773559687135,51844.24512196351,49075.631139669655,56806.05527461982
2021-11-01,América Del Centro,64724.0,55756.35852868905,36164.0,51844.24512196351,60947.789774339886,58571.57364344482
2021-12-01,América Del Centro,149703.0,55757.258274207554,39679.0,51844.24512196351,107512.33830143862,71310.32445995318
2022-01-01,América Del Centro,86499.0,55756.93078046754,71529.0,51844.24512196351,58771.14559729698,52468.01856090084
2022-02-01,América Del Centro,146716.6,55757.04998239391,42917.0,51844.24512196351,16860.918820323,37107.498513141545
2022-03-01,América Del Centro,163872.0,55757.00659489148,53656.37897633462,51844.24512196351,57662.90994778628,43068.986440660294
2022-04-01,América Del Centro,223294.0,55757.02238720021,10039.0,51844.24512196351,61780.34583819523,38436.30492851567
2022-05-01,América Del Centro,198203.0,55757.01663906802,9779.0,51844.24512196351,35996.84937324411,27308.43908034037
2022-06-01,América Del Centro,198702.0,55757.01873129027,11817.0,51844.24512196351,43210.64456958817,24027.04251746678
2022-07-01,América Del Centro,231554.0,55757.017969757006,13484.0,51844.24512196351,57959.81245102942,22469.502688372922
2022-08-01,América Del Centro,232241.0,55757.01824694218,15357.0,51844.24512196351,67116.40533883529,19052.88396582316
2022-09-01,América Del Centro,195304.0,55757.0181460515,11220.49268292683,51844.24512196351,36568.3816082712,11698.314852757112
2022-10-01,América Del Centro,218504.0,55757.01818277394,14208.773559687135,51844.24512196351,49211.52589485854,8740.514221402758
2022-11-01,América Del Centro,244172.0,55757.01816940757,36164.0,51844.24512196351,61081.31748543104,5225.029264727603
2022-12-01,América Del Centro,310516.0,55757.018174272715,39679.0,51844.24512196351,107643.54019811566,1151.296064882082
2023-01-01,América Del Centro,178469.32493866165,55757.01817250187,71529.0,51844.24512196351,58900.062191096,0.0
2023-02-01,América Del Centro,119271.23096515842,55757.01817314646,42917.0,51844.24512196351,16987.589917141457,0.0
2023-03-01,América Del Centro,153935.42964046483,55757.01817291183,53656.37897633462,51844.24512196351,57787.37466017393,0.0
2023-04-01,América Del Centro,198941.59208471162,55757.0181729972,10039.0,51844.24512196351,61902.642597431026,0.0
2023-05-01,América Del Centro,138774.22764908767,55757.0181729661,9779.0,51844.24512196351,36117.01594120271,0.0
2023-06-01,América Del Centro,135248.71404810695,55757.01817297739,11817.0,51844.24512196351,43328.718050399766,0.0
2023-07-01,América Del Centro,166137.9578242136,55757.018172973236,13484.0,51844.24512196351,58075.82930253649,0.0
2023-08-01,América Del Centro,182500.9684217889,55757.01817297472,15357.0,51844.24512196351,67230.40138384976,0.0
2023-09-01,América Del Centro,154869.7513074363,55757.01817297412,11220.49268292683,51844.24512196351,36680.392045635526,0.0
2023-10-01,América Del Centro,109570.68390564105,55757.01817297432,14208.773559687135,51844.24512196351,49321.585310314185,0.0
2023-11-01,América Del Centro,167001.90696512978,55757.018172974225,36164.0,51844.24512196351,61189.4598622976,0.0
2023-12-01,América Del Centro,221296.68974899902,55757.018172974225,39679.0,51844.24512196351,107749.79892778391,0.0
2024-01-01,América Del Centro,197656.39235007428,55757.018172974225,71529.0,51844.24512196351,59004.4700833383,0.0
2024-02-01,América Del Centro,160647.301921617,55757.018172974225,42917.0,51844.24512196351,17090.179210242502,0.0
2024-03-01,América Del Centro,206697.74679208134,55757.018172974225,53656.37897633462,51844.24512196351,57888.17703088502,0.0
2024-04-01,América Del Centro,152614.55714114258,55757.018172974225,10039.0,51844.24512196351,62001.68917075098,0.0
2024-05-01,América Del Centro,152267.11845642317,55757.018172974225,9779.0,51844.24512196351,36214.337299988445,0.0
2024-06-01,América Del Centro,130714.24281410879,55757.018172974225,11817.0,51844.24512196351,43424.344244809385,0.0
2024-07-01,América Del Centro,157324.79808869044,55757.018172974225,13484.0,51844.24512196351,58169.789859307995,0.0
