region,transformacion,adf_estadistico,p_valor,rezagos,observaciones
América Del Centro,nivel,-2.9043000348291503,0.04485024206393014,14,195
América Del Centro,log1p,-2.8278751910581184,0.054400993313190475,14,195
América Del Centro,primera_diferencia_log1p,-4.500011879515244,0.00019663018156321853,13,195
América Del Centro,diferencia_estacional_log1p,-2.924430166887174,0.042579966227406285,12,185
América Del Centro,diferencia_regular_y_estacional_log1p,-6.374492676331231,2.3016476140767263e-08,11,185
América Del Norte,nivel,-2.1637303019396654,0.21967153120988708,13,196
América Del Norte,log1p,-2.95496598161227,0.039319439016708764,10,199
América Del Norte,primera_diferencia_log1p,-6.771157575591862,2.639764425823746e-09,9,199
América Del Norte,diferencia_estacional_log1p,-3.6528061469789193,0.004828133224332104,13,184
América Del Norte,diferencia_regular_y_estacional_log1p,-5.948739507066639,2.1725807231825468e-07,12,184
Europa,nivel,-3.1727893804846166,0.02161475928127952,14,195
Europa,log1p,-3.63357197081089,0.005150704210573276,5,204
Europa,primera_diferencia_log1p,-7.968337359784956,2.8251250329773178e-12,6,202
Europa,diferencia_estacional_log1p,-3.7263075578393896,0.00375796883622568,15,182
Europa,diferencia_regular_y_estacional_log1p,-4.598236172694284,0.00013014003546238197,14,182
