País,viajeros_acumulados,participacion
El Salvador,16213975.460637605,0.31009017302766984
Guatemala,14792331.349785285,0.2829014142073436
Estados Unidos de América,7047842.963420366,0.13478908052528435
Honduras,2788232.816192475,0.05332459016689247
México,1808945.7790694959,0.034595852879579635
Belice,1328255.7686093096,0.025402718914492826
Nicaragua,1164342.7311080275,0.02226790337936035
Cruceristas,1078372.0,0.020623724322267143
Costa Rica,882179.7476337904,0.016871572998822755
Colombia,561035.317097089,0.010729727510419498
Canadá,526246.6300282185,0.010064398392413833
España,395523.62977390795,0.007564338005251926
Francia,338228.14617879165,0.006468569329343559
Alemania,300400.42026714823,0.005745118988514962
Reino Unido de Gran Bretaña e Irlanda del Norte,271367.73968747834,0.00518987274639114
Panamá,237216.9578060715,0.004536743482174329
Italia,187490.80522334334,0.0035857372779394474
Países Bajos,173198.50719496075,0.0033123989360045263
Argentina,158476.92830327025,0.003030850653361123
Otros Países de América del Sur,152447.0,0.0029155290583923353
Brasil,148116.99594339667,0.0028327182936676524
Otros Países de Europa,144149.0,0.0027568308870505602
Resto del Mundo,130817.0,0.002501858120079176
Israel,127626.09840703027,0.002440832541899391
Australia,116951.4369969034,0.0022366810300315015
Venezuela (República Bolivariana de),99586.06756983556,0.0019045705970657221
República de Corea,98524.38108932097,0.0018842659811346605
Chile,72633.38359487886,0.0013891040196279787
China,69286.58792105239,0.0013250969874165027
Japón,65853.9344434443,0.0012594479358683723
Perú,65695.1093815606,0.0012564104272055393
Suiza,55419.13067832712,0.0010598836702821626
República Dominicana,49622.042952865304,0.0009490151210969805
Bélgica,46798.08095074268,0.0008950072148936161
Ecuador,42333.000398503355,0.0008096131297485082
Suecia,32408.927397101234,0.0006198165236283831
Polonia,30318.882770430766,0.0005798446918285149
Dinamarca,29058.665807237314,0.0005557432062232261
Austria,28576.83744155361,0.0005465283013624645
Cuba,27854.287331560747,0.0005327096244332447
India,27694.96848990638,0.0005296626722964843
Federación de Rusia,26730.685206197017,0.0005112208798428668
Cruceros,26030.0,0.0004978203663565205
Irlanda,25509.39757138233,0.0004878639125823929
Uruguay,25478.937899116285,0.000487281375309762
Noruega,20810.806375831427,0.0003980039667380336
Portugal,19260.747102426107,0.00036835928462658685
Nueva Zelanda,18084.48462908536,0.0003458634177264748
República Checa,15955.983701144934,0.0003051561141637588
Bolivia (Estado Plurinacional de),13735.164011664143,0.0002626832262871126
Puerto Rico,9490.698833392942,0.00018150838149132064
Finlandia,9273.058242080708,0.00017734603347360623
Taiwan,8784.956178899305,0.00016801114496371996
Ucrania,8103.404220136699,0.0001549765523474232
Filipinas,7267.157260989488,0.00013898343795759645
Turquía,7128.477069527879,0.0001363311973229514
Paraguay,7061.962738123337,0.0001350591193810471
Eslovaquia,6880.22515852185,0.00013158341179526304
Estonia,6640.756886879031,0.00012700361222860954
Eslovenia,6618.450385484226,0.00012657700328905924
Rumania,6183.797705405517,0.00011826432728311892
Hungría,6089.284672360165,0.00011645677781188945
Grecia,5607.548242294154,0.00010724363120786548
Sudáfrica,5557.179375092324,0.00010628033317008685
Bulgaria,3454.830841951637,6.607319075836229e-05
Guinea,3303.4161589292366,6.31774046279755e-05
Lituania,3294.6798971719645,6.301032475749562e-05
Micronesia (Estados Federados de),3226.4778311152386,6.17059691097572e-05
Trinidad y Tobago,2777.700692159983,5.312316466384339e-05
Malasia,2685.181165908445,5.135374075090938e-05
Emiratos Árabes Unidos,2551.762510265102,4.880212630484085e-05
Haití,2546.6944920448077,4.8705201115170154e-05
Jamaica,2507.1309990975356,4.7948554455417765e-05
OTROS PAISES DEL MUNDO,2370.5900491491316,4.533722653663245e-05
Katar,2329.760352436955,4.455636389447028e-05
Singapur,1970.8434551014514,3.769212488858837e-05
Croacia,1930.131549391032,3.6913514984023135e-05
Tailandia,1637.432308473669,3.1315680049495396e-05
Egipto,1499.498593434038,2.8677715679386092e-05
Letonia,1421.4808440857894,2.7185636364639404e-05
Islandia,1301.3896954932059,2.488890875847209e-05
Luxemburgo,1172.3394586588267,2.242083975427361e-05
Indonesia,1111.3762978498262,2.12549272284116e-05
Marruecos,1079.8377341937073,2.0651756298190794e-05
Jordania,1044.981796815477,1.9985141026760503e-05
Guyana,1043.7431641642756,1.9961452338316313e-05
Malta,1023.8848189417714,1.95816640673251e-05
Guadalupe,1000.9506899458976,1.914305183148977e-05
Nigeria,931.5881114899431,1.7816501534971285e-05
"China, Hong Kong Región Administrativa Especial",919.995057743052,1.7594785889044733e-05
Brunei Darussalam,916.6688684374534,1.753117295094699e-05
Bahamas,886.096991074373,1.6946489770420854e-05
Guinea Ecuatorial,849.7704770218745,1.625174991125566e-05
Guinea-Bissau,819.2769427748904,1.566856503264103e-05
Etiopía,778.243099333364,1.4883798110817105e-05
Islas Vírgenes Americanas,747.0,1.4286277897361539e-05
República Popular Democrática de Corea,730.5391084063116,1.3971465485385936e-05
Fiji,730.2982302996351,1.3966858722907526e-05
Pakistán,724.5226922531767,1.3856402308532041e-05
Serbia,698.6279914351593,1.3361169521443376e-05
Barbados,693.6542718985354,1.3266047781839969e-05
Kenia,598.3739733747891,1.144382445807316e-05
Líbano,578.9425743510366,1.1072201477634274e-05
Arabia Saudita,547.3021793288394,1.0467083035774296e-05
Bielorrusia,528.4474025750501,1.0106487881293243e-05
Georgia,514.2712764355397,9.835371311631802e-06
Congo,495.0158953909629,9.467114652164049e-06
República Democrática Popular Lao,481.17190778625684,9.202350188806004e-06
Chipre,476.47408538017953,9.112504945960392e-06
Guam,445.71849511425495,8.52430828004823e-06
Dominica,437.22054097300133,8.361786011747046e-06
Gabón,422.8985843392226,8.087880452839251e-06
Santo Tomé y Príncipe,407.0,7.783822094010905e-06
Sri Lanka,405.05105910818565,7.746548852798064e-06
