region,modelo,residuo
América Del Centro,Holt-Winters,-16128.245617585912
América Del Centro,Holt-Winters,19540.486913509805
América Del Centro,Holt-Winters,-15727.060883069324
América Del Centro,Holt-Winters,11325.146977754863
América Del Centro,Holt-Winters,-3719.0188524059777
América Del Centro,Holt-Winters,4483.914338522547
América Del Centro,Holt-Winters,-13687.580470242305
América Del Centro,Holt-Winters,18168.09958384793
América Del Centro,Holt-Winters,5323.317530718457
América Del Centro,Holt-Winters,1215.6362263523333
América Del Centro,Holt-Winters,2705.1995654375205
América Del Centro,Holt-Winters,-14701.407629570778
América Del Centro,Holt-Winters,-4464.936392518022
América Del Centro,Holt-Winters,15715.615631240049
América Del Centro,Holt-Winters,-23886.28394112384
América Del Centro,Holt-Winters,16089.886193384955
América Del Centro,Holt-Winters,5695.159623356463
América Del Centro,Holt-Winters,-4434.020674994201
América Del Centro,Holt-Winters,10177.84984461288
América Del Centro,Holt-Winters,-5932.08309170093
América Del Centro,Holt-Winters,-1978.4437372340035
América Del Centro,Holt-Winters,5798.743453735864
América Del Centro,Holt-Winters,4295.528851525465
América Del Centro,Holt-Winters,-9262.12116070994
América Del Centro,Holt-Winters,-4103.419331247598
América Del Centro,Holt-Winters,14544.938783481994
América Del Centro,Holt-Winters,-15712.843291136509
América Del Centro,Holt-Winters,20073.321513360745
América Del Centro,Holt-Winters,-7381.179420792629
América Del Centro,Holt-Winters,-2195.238587856671
América Del Centro,Holt-Winters,7762.70947416166
América Del Centro,Holt-Winters,-15321.289877433024
América Del Centro,Holt-Winters,9231.155535725804
América Del Centro,Holt-Winters,-5761.358185978388
América Del Centro,Holt-Winters,12469.316122208795
América Del Centro,Holt-Winters,1036.3975854131277
América Del Centro,Holt-Winters,-10864.515976592491
América Del Centro,Holt-Winters,11854.658335026048
América Del Centro,Holt-Winters,-10690.645353351996
América Del Centro,Holt-Winters,4198.236481080923
América Del Centro,Holt-Winters,-61.62204142814153
América Del Centro,Holt-Winters,-197.1743759110832
América Del Centro,Holt-Winters,1195.04000439441
