año,total_reportado,turista_mas_excursionista
2009,2028775.7245768136,1880182.851814421
2010,2152898.8537133294,2004783.9993820349
2011,2231456.1060929196,2079714.6026227854
2012,2299815.5793218436,2139541.480974412
2013,2432168.978419048,2289702.752485892
2014,2762601.964338641,2660177.316864038
2015,3041642.5826821662,2917886.0403561103
2016,3496216.836342615,2997026.744440808
2017,3921460.3010065774,3307651.286989047
2018,4256348.656463447,3793760.857311195
2019,4691820.200434955,4132250.6018769946
2020,1266340.1437961974,1059770.4323031502
2021,1267767.7664864843,1098964.3786896707
2022,4316164.4,3229328.6
2023,3248708.9999999995,2917826.811322615
2024,3593876.0000000005,3274435.995135597
2025,3597237.9999999995,3352288.657508455
2026,1682636.0,1576619.4764402814
