region,modelo_arima,p,d,q,P,D,Q,s,AIC,BIC,MAE_prueba,RMSE_prueba,convergio,estado
Total mensual,"ARIMA(1, 0, 1)",1,0,1,0,0,0,0,85.47518210585535,97.38211707553765,100320.29908439025,117216.19004433879,True,ok
Total mensual,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",0,0,1,0,1,1,12,194.29030929297912,202.67768092976934,100904.01956628116,112077.65593122842,True,ok
Total mensual,"SARIMA(1, 0, 1)x(0, 1, 1, 12)",1,0,1,0,1,1,12,71.16786658173774,82.35102876412469,153684.30794373,174623.90765382306,True,ok
Total mensual,"SARIMA(2, 0, 0)x(1, 1, 0, 12)",2,0,0,1,1,0,12,68.76862178479871,79.95178396718568,201460.42284455732,227934.3676889613,True,ok
Total mensual,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",1,1,1,1,1,1,12,74.50256884671015,88.44002756062038,246692.6233835033,271277.22468035686,True,ok
Vía aérea,"ARIMA(1, 0, 1)",1,0,1,0,0,0,0,186.94063879222418,198.84757376190646,24962.468974991574,30140.197383278708,True,ok
Vía aérea,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",0,0,1,0,1,1,12,260.8687029901687,269.2560746269589,40073.660247716434,48390.88245076477,True,ok
Vía aérea,"SARIMA(1, 0, 1)x(0, 1, 1, 12)",1,0,1,0,1,1,12,169.76432229634037,180.94748447872735,48012.29762644804,56028.47226876917,True,ok
Vía aérea,"SARIMA(2, 0, 0)x(1, 1, 0, 12)",2,0,0,1,1,0,12,160.7102911287833,171.89345331117028,4764607300767.929,25311688984777.625,True,ok
Vía aérea,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",1,1,1,1,1,1,12,169.0244219191858,182.96188063309603,2345545274740971.5,1.6726402378609112e+16,True,ok
