region,modelo,inicio_train,fin_train,inicio_prueba,fin_prueba,n_train,n_prueba,MAE,RMSE,AIC,BIC,escala_AIC_BIC,configuracion,escala_residuos,media_residuos,desviacion_residuos,ljung_box_p_12,jarque_bera_p,mejor_por_rmse,seleccion_final
Total mensual,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,100904.0240805814,112077.6608300566,194.29030929202258,202.6776809288128,log1p,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",log1p,0.03106254596864676,0.5021757069058652,1.6827250539569833e-38,1.144821705470738e-215,True,False
Total mensual,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,235730.91380951658,253203.38782761196,,,no aplica,,original,-11252.441601982835,112295.09608150148,2.4123438947413185e-80,1.138247914418954e-86,False,False
Total mensual,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,180674.88584086718,200663.3475196206,3217.2158258684062,3223.1966910419637,original,,original,-666.3443521371244,55974.25736699262,1.2910555302010723e-18,1.8186521655907963e-10,False,False
Total mensual,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,188266.36765904992,205592.13232922796,3138.566199060658,3189.4035530358965,original,,original,-575.1505334533053,38678.94436496306,0.7522871092528539,0.0,False,True
Total mensual,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,258151.59310540723,281201.26063316537,,,no disponible,,original,-107.105058792716,63033.987288343276,1.111267964347274e-54,3.4379711650916435e-15,False,False
Vía aérea,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,24962.4689130396,30140.197336736714,186.94063879062702,198.84757376030933,log1p,"ARIMA(1, 0, 1)",log1p,-0.00382498449902101,0.48274854671075523,0.5283096873963198,0.0,True,True
Vía aérea,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,75103.70007949528,79077.33476562955,,,no aplica,,original,-5112.384316410075,32472.015338798567,8.69836808882017e-87,6.919352064544193e-95,False,False
Vía aérea,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,36108.526737109794,41367.771432603564,2875.315338807798,2881.2962039813556,original,,original,-146.61379392248156,17496.50346323893,3.20858515471407e-19,0.06035660659629413,False,False
Vía aérea,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,37430.79194597288,41502.1302776706,2738.556040250451,2789.3933942256895,original,,original,-113.48953476908875,9922.07477250982,0.2481119966964826,0.0,False,False
Vía aérea,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,86647.31278957987,91501.32247233318,,,no disponible,,original,-15.922681491686088,18847.629855531344,3.5871559022560117e-56,5.531140242399414e-24,False,False
