region,modelo,inicio_train,fin_train,inicio_prueba,fin_prueba,n_train,n_prueba,MAE,RMSE,AIC,BIC,escala_AIC_BIC,configuracion,escala_residuos,media_residuos,desviacion_residuos,ljung_box_p_12,jarque_bera_p,mejor_por_rmse,seleccion_final
Total mensual,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,100904.01956628116,112077.65593122842,194.29030929297912,202.67768092976934,log1p,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",log1p,0.031062544714380216,0.5021757066804002,1.6824506299912066e-38,1.1448929527609495e-215,True,False
Total mensual,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,235730.91380951658,253203.38782761196,,,no aplica,,original,-11252.441601982835,112295.09608150148,2.4123438947411114e-80,1.138247914418954e-86,False,False
Total mensual,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,180675.08464883966,200663.55736085397,3217.215843286143,3223.1967084597004,original,,original,-665.9743664700211,55974.26511702752,1.2926291896766139e-18,1.8157566377040678e-10,False,False
Total mensual,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,188111.77720254162,205437.8456060564,3138.5550558523746,3189.392409827613,original,,original,-595.015819954786,38677.17548810985,0.7520611245712222,0.0,False,True
Total mensual,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,258367.27154644407,281496.0953809533,,,no disponible,,original,-172.65670005066698,62950.82474599872,1.461314047808418e-54,2.0894013128858218e-15,False,False
Vía aérea,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,24962.468974991574,30140.197383278708,186.94063879222418,198.84757376190646,log1p,"ARIMA(1, 0, 1)",log1p,-0.003824984362204728,0.4827485466854487,0.5283096856222229,0.0,True,True
Vía aérea,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,75103.70007949528,79077.33476562955,,,no aplica,,original,-5112.384316410075,32472.015338798567,8.698368088819177e-87,6.919352064544193e-95,False,False
Vía aérea,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,36108.526737109794,41367.771432603564,2875.3157646273303,2881.296629800888,original,,original,-144.02870859766708,17496.55042442582,3.307981788230873e-19,0.060080802719016925,False,False
Vía aérea,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,37427.23037563804,41498.63537355836,2738.5542648675732,2789.3916188428116,original,,original,-113.44306387154063,9922.015383266262,0.24825881917050036,0.0,False,False
Vía aérea,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,86604.50464849886,91458.74609141979,,,no disponible,,original,-82.60784500157949,18898.435874915813,3.2313975599016094e-56,4.007640100838861e-23,False,False
