fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2021-04-01,Total mensual,82067.86966045789,210696.75571601914,10039.0,98504.55781603113,98243.84944112504,136091.59998764828
2021-05-01,Total mensual,79974.0,161255.82347029928,9779.0,98504.55781603113,56971.48444137426,105678.4150062661
2021-06-01,Total mensual,106436.0,176892.1756997422,11817.0,98504.55781603113,76487.81089290266,109086.92701519652
2021-07-01,Total mensual,108345.66433359256,197844.50403818017,13484.0,98504.55781603113,98968.2744741603,115718.34838754563
2021-08-01,Total mensual,83251.0,202939.55104208444,15357.0,98504.55781603113,105104.83504959822,112019.54172898931
2021-09-01,Total mensual,74913.99999999996,162314.83330536922,25389.528915275994,98504.55781603113,41505.11245355422,77808.81728420152
2021-10-01,Total mensual,93745.0,186393.80761032813,30538.524452566482,98504.55781603113,70417.18649364015,83186.35283858978
2021-11-01,Total mensual,116908.17755114578,226776.30071620733,58632.0,98504.55781603113,98114.35804792962,89774.69374527139
2021-12-01,Total mensual,246898.0,284819.8017710169,59432.0,98504.55781603113,160660.91089361097,106019.35099373214
2022-01-01,Total mensual,151709.0,251174.86542820977,104620.0,98504.55781603113,110848.48733231604,83684.51119173106
2022-02-01,Total mensual,232198.4,193562.87593646528,65463.0,98504.55781603113,58856.84484714894,62042.420761118585
2022-03-01,Total mensual,296130.0,232203.7358686792,105145.0549412881,98504.55781603113,105399.94852503971,67923.30817627872
2022-04-01,Total mensual,386778.0,195638.57593082375,10039.0,98504.55781603113,98312.27643733339,58486.31596759901
2022-05-01,Total mensual,356400.0,161255.82347029928,9779.0,98504.55781603113,57038.702430586905,41574.37789112928
2022-06-01,Total mensual,360283.0,176892.1756997422,11817.0,98504.55781603113,76553.84123654118,39302.06870026253
2022-07-01,Total mensual,397773.0,197844.50403818017,13484.0,98504.55781603113,99033.1381562206,37940.252727451334
2022-08-01,Total mensual,399193.0,202939.55104208444,15357.0,98504.55781603113,105168.55268331904,31964.060678827056
2022-09-01,Total mensual,348618.0,162314.83330536922,25389.528915275994,98504.55781603113,41567.704287967936,18455.97862564804
2022-10-01,Total mensual,407715.0,186393.80761032813,30538.524452566482,98504.55781603113,70478.6724200077,15621.258736969598
2022-11-01,Total mensual,453177.0,226776.30071620733,58632.0,98504.55781603113,98174.75760606189,11498.753183197849
2022-12-01,Total mensual,526190.0,284819.8017710169,59432.0,98504.55781603113,160720.24327807836,6565.623108481463
