region,transformacion,adf_estadistico,p_valor,rezagos,observaciones
Total mensual,nivel,-3.07020568478335,0.028838122883842618,12,197
Total mensual,log1p,-3.1083578066157145,0.025940824393965552,12,197
Total mensual,primera_diferencia_log1p,-4.736489414888568,7.182749511928731e-05,13,195
Total mensual,diferencia_estacional_log1p,-3.174090898490629,0.02153424111332693,13,184
Total mensual,diferencia_regular_y_estacional_log1p,-5.407570553056201,3.2653708463331868e-06,12,184
Vía aérea,nivel,-3.1938990857578506,0.020340551221270528,14,195
Vía aérea,log1p,-3.316306051989225,0.014165142428062827,7,202
Vía aérea,primera_diferencia_log1p,-7.675146482868003,1.5559540716147556e-11,6,202
Vía aérea,diferencia_estacional_log1p,-3.5898921427343597,0.005957234677251624,15,182
Vía aérea,diferencia_regular_y_estacional_log1p,-7.763485186555562,9.320029051402991e-12,11,185
