region,modelo,residuo
Total mensual,Holt-Winters,-4868.0899970091705
Total mensual,Holt-Winters,17690.7886672999
Total mensual,Holt-Winters,-21300.71121798223
Total mensual,Holt-Winters,14999.67350316656
Total mensual,Holt-Winters,-8017.764805412502
Total mensual,Holt-Winters,3275.4109914784203
Total mensual,Holt-Winters,-38661.579465573945
Total mensual,Holt-Winters,41968.22456456898
Total mensual,Holt-Winters,11149.470621143875
Total mensual,Holt-Winters,-7623.359779320977
Total mensual,Holt-Winters,4347.013576110243
Total mensual,Holt-Winters,-13614.226964403875
Total mensual,Holt-Winters,10453.171852712316
Total mensual,Holt-Winters,5697.7936805819045
Total mensual,Holt-Winters,-22408.493995202996
Total mensual,Holt-Winters,9400.763293087162
Total mensual,Holt-Winters,8221.544181634206
Total mensual,Holt-Winters,-5328.577974853542
Total mensual,Holt-Winters,20162.355074484396
Total mensual,Holt-Winters,-15974.380577709642
Total mensual,Holt-Winters,4038.190682898101
Total mensual,Holt-Winters,3536.5452127359167
Total mensual,Holt-Winters,-163.17915499286028
Total mensual,Holt-Winters,-8188.611512935633
Total mensual,Holt-Winters,509.2284199515125
Total mensual,Holt-Winters,13641.71100206743
Total mensual,Holt-Winters,-24421.666060459567
Total mensual,Holt-Winters,35510.69390558053
Total mensual,Holt-Winters,-12782.506669096649
Total mensual,Holt-Winters,-6576.686653029872
Total mensual,Holt-Winters,11526.517411775043
Total mensual,Holt-Winters,-22319.24345500153
Total mensual,Holt-Winters,19489.350844401517
Total mensual,Holt-Winters,-13258.063701353385
Total mensual,Holt-Winters,8961.293310823588
Total mensual,Holt-Winters,-1439.2460896625416
Total mensual,Holt-Winters,3023.8637971236603
Total mensual,Holt-Winters,10205.87221034916
Total mensual,Holt-Winters,-19195.86721037081
Total mensual,Holt-Winters,4063.2658049814345
Total mensual,Holt-Winters,12663.654623368551
Total mensual,Holt-Winters,-4745.706296528981
Total mensual,Holt-Winters,1916.2490371168242
Total mensual,Holt-Winters,-22006.281297863956
Total mensual,Holt-Winters,26377.978300317365
Total mensual,Holt-Winters,-5280.49833481689
Total mensual,Holt-Winters,5931.080917786661
Total mensual,Holt-Winters,-11143.751565031329
Total mensual,Holt-Winters,-14622.489736707357
Total mensual,Holt-Winters,12490.592554905365
Total mensual,Holt-Winters,35782.40965614529
Total mensual,Holt-Winters,-37592.27017910304
Total mensual,Holt-Winters,36408.26138753156
Total mensual,Holt-Winters,-3925.941163634823
Total mensual,Holt-Winters,-9983.145099093788
Total mensual,Holt-Winters,-20677.873830075143
Total mensual,Holt-Winters,29126.65139061358
Total mensual,Holt-Winters,-23705.208306082553
Total mensual,Holt-Winters,17902.065794284863
Total mensual,Holt-Winters,-1521.7638320763363
Total mensual,Holt-Winters,4870.991172374372
Total mensual,Holt-Winters,383.2709184002888
Total mensual,Holt-Winters,-14098.878913602995
Total mensual,Holt-Winters,35302.25071622612
Total mensual,Holt-Winters,-4620.261223401147
Total mensual,Holt-Winters,-14179.330902553396
Total mensual,Holt-Winters,14037.351511770103
Total mensual,Holt-Winters,-15517.728498342272
Total mensual,Holt-Winters,24337.620689941657
Total mensual,Holt-Winters,7586.775929639378
Total mensual,Holt-Winters,8225.641492203693
Total mensual,Holt-Winters,13611.786678680102
Total mensual,Holt-Winters,-34831.65380319973
Total mensual,Holt-Winters,5668.638967496518
Total mensual,Holt-Winters,10653.164716748783
Total mensual,Holt-Winters,13818.648122674145
Total mensual,Holt-Winters,8249.869126551464
Total mensual,Holt-Winters,-5009.457245514466
Total mensual,Holt-Winters,-17806.944830724475
Total mensual,Holt-Winters,-3260.8575056643167
Total mensual,Holt-Winters,11907.295018361765
Total mensual,Holt-Winters,-2569.671697573067
Total mensual,Holt-Winters,-9844.603249579202
Total mensual,Holt-Winters,22927.673490398738
Total mensual,Holt-Winters,-8981.122266031743
Total mensual,Holt-Winters,7045.312807602371
Total mensual,Holt-Winters,66112.66102075687
Total mensual,Holt-Winters,-89661.43977136764
Total mensual,Holt-Winters,47312.901112820895
Total mensual,Holt-Winters,-7174.065091288299
Total mensual,Holt-Winters,17603.85466050048
Total mensual,Holt-Winters,-4981.306852765207
Total mensual,Holt-Winters,-30319.929865846527
Total mensual,Holt-Winters,54625.88712413021
Total mensual,Holt-Winters,102.64124274038477
Total mensual,Holt-Winters,14877.826239385002
Total mensual,Holt-Winters,-26035.122632221784
Total mensual,Holt-Winters,984.164375724562
Total mensual,Holt-Winters,16357.759177435888
Total mensual,Holt-Winters,65932.76957218192
Total mensual,Holt-Winters,-74328.52783659438
Total mensual,Holt-Winters,-2063.888232913683
Total mensual,Holt-Winters,36239.52299769822
Total mensual,Holt-Winters,36014.43847838865
Total mensual,Holt-Winters,-91445.79139900272
Total mensual,Holt-Winters,-795.0232046590536
Total mensual,Holt-Winters,14073.373683169251
Total mensual,Holt-Winters,25527.64689542231
Total mensual,Holt-Winters,3192.7005920606316
Total mensual,Holt-Winters,-17733.85163547017
Total mensual,Holt-Winters,100878.20439165318
Total mensual,Holt-Winters,-34581.258519198105
Total mensual,Holt-Winters,-46300.90400729817
Total mensual,Holt-Winters,19231.031187328277
Total mensual,Holt-Winters,-6619.5211545934435
Total mensual,Holt-Winters,12997.84308589215
Total mensual,Holt-Winters,-26606.838021799398
Total mensual,Holt-Winters,-2985.498887510912
Total mensual,Holt-Winters,4238.829199745262
Total mensual,Holt-Winters,41951.910123729554
Total mensual,Holt-Winters,8905.71646000864
Total mensual,Holt-Winters,-34758.57780217915
Total mensual,Holt-Winters,29613.921635404287
Total mensual,Holt-Winters,46831.14819731278
Total mensual,Holt-Winters,-72665.79718514136
Total mensual,Holt-Winters,16266.678578213206
Total mensual,Holt-Winters,41811.692205043335
Total mensual,Holt-Winters,5674.7828633352765
Total mensual,Holt-Winters,-45017.17237488623
Total mensual,Holt-Winters,-23371.22048772947
Total mensual,Holt-Winters,43036.1464758598
Total mensual,Holt-Winters,49879.95129055204
Total mensual,Holt-Winters,1169.792603094189
Total mensual,Holt-Winters,-24455.97762495454
Total mensual,Holt-Winters,-259643.53933222714
Total mensual,Holt-Winters,-167244.9499190724
Total mensual,Holt-Winters,36180.78741838268
Total mensual,Holt-Winters,-16434.88627386067
Total mensual,Holt-Winters,-21289.55255709459
Total mensual,Holt-Winters,-4879.828120207698
Total mensual,Holt-Winters,73489.9264051514
Total mensual,Holt-Winters,-21642.038885381735
Total mensual,Holt-Winters,-230.06953874950705
Total mensual,Holt-Winters,-61754.51903471179
Total mensual,Holt-Winters,93215.63768446684
Total mensual,Holt-Winters,15525.46034175955
Total mensual,Holt-Winters,-6413.922056780517
Vía aérea,ARIMA/SARIMA seleccionado,-0.19081584297900456
Vía aérea,ARIMA/SARIMA seleccionado,-0.09474126437202202
Vía aérea,ARIMA/SARIMA seleccionado,0.12905023549865113
Vía aérea,ARIMA/SARIMA seleccionado,-0.039797385469116264
Vía aérea,ARIMA/SARIMA seleccionado,-0.106913778131009
