region,modelo,residuo
Total mensual,Holt-Winters,-4980.429115318315
Total mensual,Holt-Winters,17642.789519031678
Total mensual,Holt-Winters,-21248.201945623237
Total mensual,Holt-Winters,14840.726393525489
Total mensual,Holt-Winters,-7896.997703001078
Total mensual,Holt-Winters,3114.9680956296797
Total mensual,Holt-Winters,-38717.63289546681
Total mensual,Holt-Winters,41909.68352810372
Total mensual,Holt-Winters,11120.494953144691
Total mensual,Holt-Winters,-7727.939383295627
Total mensual,Holt-Winters,4247.244643339742
Total mensual,Holt-Winters,-13559.291321946075
Total mensual,Holt-Winters,10354.066458384012
Total mensual,Holt-Winters,5662.214715260721
Total mensual,Holt-Winters,-22348.075785470224
Total mensual,Holt-Winters,9251.15844978852
Total mensual,Holt-Winters,8350.827211666649
Total mensual,Holt-Winters,-5477.224776868301
Total mensual,Holt-Winters,20114.107325360004
Total mensual,Holt-Winters,-16014.702970840823
Total mensual,Holt-Winters,4009.098591959628
Total mensual,Holt-Winters,3439.2223627015774
Total mensual,Holt-Winters,-252.7253789905517
Total mensual,Holt-Winters,-8125.987697633245
Total mensual,Holt-Winters,419.1741993407777
Total mensual,Holt-Winters,13612.654372063873
Total mensual,Holt-Winters,-24352.09849858028
Total mensual,Holt-Winters,35368.607889798295
Total mensual,Holt-Winters,-12641.426448212384
Total mensual,Holt-Winters,-6720.998605932691
Total mensual,Holt-Winters,11485.392788133962
Total mensual,Holt-Winters,-22353.65313552256
Total mensual,Holt-Winters,19466.379691509588
Total mensual,Holt-Winters,-13345.925385243696
Total mensual,Holt-Winters,8876.083422326861
Total mensual,Holt-Winters,-1368.4437275100208
Total mensual,Holt-Winters,2941.6120082295965
Total mensual,Holt-Winters,10183.826796280307
Total mensual,Holt-Winters,-19120.361555708107
Total mensual,Holt-Winters,3928.3523459402495
Total mensual,Holt-Winters,12806.03149219515
Total mensual,Holt-Winters,-4879.985109661851
Total mensual,Holt-Winters,1881.5708339707926
Total mensual,Holt-Winters,-22036.259579416947
Total mensual,Holt-Winters,26360.854086165084
Total mensual,Holt-Winters,-5361.526395152992
Total mensual,Holt-Winters,5852.811627952644
Total mensual,Holt-Winters,-11067.84120729423
Total mensual,Holt-Winters,-14700.834650152508
Total mensual,Holt-Winters,12471.07203961024
Total mensual,Holt-Winters,35863.468409033
Total mensual,Holt-Winters,-37713.284568006464
Total mensual,Holt-Winters,36549.39189089171
Total mensual,Holt-Winters,-4051.6330177355267
Total mensual,Holt-Winters,-10012.66328896099
Total mensual,Holt-Winters,-20704.886560033512
Total mensual,Holt-Winters,29114.44434512421
Total mensual,Holt-Winters,-23781.115670723753
Total mensual,Holt-Winters,17825.49338129355
Total mensual,Holt-Winters,-1439.5180432398338
Total mensual,Holt-Winters,4798.670230937598
Total mensual,Holt-Winters,371.2556466507667
Total mensual,Holt-Winters,-14015.347855252097
Total mensual,Holt-Winters,35177.51016633917
