fecha,total_reportado,turista_mas_excursionista
2009-01-01,183505.5905347593,149944.02934517286
2009-02-01,149426.2539075136,127303.6922033775
2009-03-01,174237.2270951157,158795.67381860284
2009-04-01,182842.4899173554,172013.46769401644
2009-05-01,133194.66765069554,124559.52435069307
2009-06-01,156292.12857142845,151442.80337827274
2009-07-01,140089.27569229022,137616.9517422195
2009-08-01,189382.18837563434,179344.0418037644
2009-09-01,135790.18845637582,132791.13353560158
2009-10-01,156825.9666666667,153153.6097868689
2009-11-01,189158.16000000012,173623.2729586916
2009-12-01,238031.58770897836,219594.65119713946
2010-01-01,199130.9858823529,162333.26551165638
2010-02-01,152599.55714285714,132527.46022602476
2010-03-01,176632.7872462976,163351.09275954103
2010-04-01,179655.10000000006,170870.90530317114
2010-05-01,146392.53513761464,141291.6089476861
2010-06-01,160401.53999999995,155468.9470746268
2010-07-01,203255.90921084874,199667.83285998116
2010-08-01,192892.4358336446,183931.0306162957
2010-09-01,133847.88865537662,130760.34969839198
2010-10-01,166234.54099203463,157632.1243212268
2010-11-01,193720.08842105273,179538.33569674406
2010-12-01,248135.48519124987,227411.04636668903
2011-01-01,199120.59029411766,169708.55722701532
2011-02-01,160806.84761904762,139869.86559086668
2011-03-01,182584.30508188406,169957.79100865728
2011-04-01,211761.74419302514,191655.76499508988
2011-05-01,156728.34999999995,145923.54778125993
2011-06-01,170083.35714285713,163014.46872590488
2011-07-01,204325.66331283798,200521.00470178176
2011-08-01,187854.6781400468,174775.49370458006
2011-09-01,144432.6912044162,141183.83971974195
2011-10-01,159566.86878067983,152049.08059590787
2011-11-01,196650.4950404817,187320.0779012438
2011-12-01,257540.5152835257,243735.11067073603
2012-01-01,210834.305882353,177125.95776830107
2012-02-01,169001.26952380955,147819.44219831316
2012-03-01,196093.11365490346,186237.2082521481
2012-04-01,193661.7499999999,182891.2362626656
2012-05-01,164972.46000000002,152137.5120438028
2012-06-01,179413.4692857143,173240.56422688224
2012-07-01,203982.72000106898,199340.37067282858
2012-08-01,188092.5113766111,170666.4032403826
2012-09-01,151540.5526229508,147847.52798648953
2012-10-01,174443.9581938911,167995.4374967636
2012-11-01,208257.7518037972,195400.06831855708
2012-12-01,259521.71697674415,238839.75250727762
2013-01-01,195440.51999839998,170858.696535424
2013-02-01,156393.08999989994,140163.89946159555
2013-03-01,238388.6366329104,217092.5553629627
2013-04-01,192705.51000000004,179526.03722270243
2013-05-01,188955.55999999997,179243.65691496403
2013-06-01,203522.43999999997,197164.99485562296
2013-07-01,216160.6217850375,211596.0172646677
2013-08-01,201934.6200000001,197150.9391696579
2013-09-01,168085.2500028,163867.0618713466
2013-10-01,172476.97999999995,167624.46888297104
2013-11-01,218786.41999999993,202965.0230046185
2013-12-01,279319.32999999996,262449.4019393584
2014-01-01,234446.53999999992,219460.3466763904
2014-02-01,182721.75,173476.24586474686
2014-03-01,215178.73433878162,200137.3302226692
2014-04-01,243823.90000000002,229359.1331489176
2014-05-01,196933.52000000008,190264.56475260793
2014-06-01,202425.34999985993,200093.47330128693
2014-07-01,239373.68999999997,237558.594805903
2014-08-01,229607.76999999996,225101.63196751618
2014-09-01,190814.11,187684.78059355926
2014-10-01,226630.01000000004,223650.87089512649
2014-11-01,262353.2899999996,248017.60998571018
2014-12-01,338293.3,325372.73464960407
2015-01-01,253275.000001625,244120.9512092014
2015-02-01,207976.49999823695,197207.24754449064
2015-03-01,265027.28444746643,249587.40803931904
2015-04-01,271468.4999999886,247561.50812161784
2015-05-01,238063.29823437225,226414.60772244775
2015-06-01,252347.99999916193,245382.68691700848
2015-07-01,257181.99999890625,253035.1771321548
2015-08-01,260587.50000028274,245666.15541175148
2015-09-01,209004.49999934426,206700.77080266396
2015-10-01,235017.99999686194,227800.2788234454
2015-11-01,252959.50000221597,245184.0101002201
2015-12-01,338732.50000370404,329225.2385317896
2016-01-01,279290.9999999999,262106.6293521066
2016-02-01,234617.99999999988,214638.7297908925
2016-03-01,347084.00000000006,322030.33266050776
2016-04-01,248439.00000000006,211444.92035013388
2016-05-01,257081.0,223932.92774985195
2016-06-01,268068.6562500002,226287.2952819879
2016-07-01,308371.75939849706,269012.23955853493
2016-08-01,309029.99999999977,258799.92772352407
2016-09-01,215265.39883619457,186819.30831740008
2016-10-01,299690.0,249121.26446227162
2016-11-01,325923.0,251531.9805278988
2016-12-01,403355.0218579234,321301.18866569793
2017-01-01,327088.2196146738,259641.60794906894
2017-02-01,276842.8785826486,233718.22885076454
2017-03-01,339725.37321970536,294444.4751136086
2017-04-01,398107.9311828097,377828.7289698364
2017-05-01,280611.37535503623,243741.78519639446
2017-06-01,300218.7854,247853.40796743412
2017-07-01,359006.57369999983,291574.27301642345
2017-08-01,400119.0166000009,274293.5932154499
2017-09-01,244041.30469999992,213696.60197929587
2017-10-01,274807.10442170204,239055.67001993404
2017-11-01,316608.2421300007,275693.4157893119
2017-12-01,404283.4961000003,356109.498921525
2018-01-01,356933.8923320003,303819.2179742683
2018-02-01,287123.4266880002,251666.99157049917
2018-03-01,435063.99999999884,393020.78296043223
2018-04-01,390488.66023500025,308239.861353772
2018-05-01,303919.7562999992,277750.0821155593
2018-06-01,344009.8457930184,311280.3505085109
2018-07-01,359320.84170000005,337300.58994755434
2018-08-01,378651.77360000083,352316.5717399916
2018-09-01,288075.091731506,272777.06846753834
2018-10-01,314775.24679066514,282172.2126978078
2018-11-01,346802.54537830804,309687.6366610493
2018-12-01,451183.5759149496,393729.4913142119
2019-01-01,409070.1841228372,357645.7498163418
2019-02-01,322067.5757750438,285350.9076318986
2019-03-01,399233.16485603753,359757.99034261284
2019-04-01,438126.02571626974,388538.5481624975
2019-05-01,322838.7189971024,299297.3401131451
2019-06-01,360723.62495207327,333161.55536598404
2019-07-01,424549.22910102265,365333.6909719392
2019-08-01,435156.2167264152,365512.75428666285
2019-09-01,326378.553693717,298250.07724295655
2019-10-01,333222.5816606803,294503.99136425246
2019-11-01,404633.87888198986,335783.9260785361
2019-12-01,515820.44595176575,449114.0705001674
2020-01-01,465740.1746839287,388222.6026616116
2020-02-01,389261.6257059582,317917.9765175921
2020-03-01,176870.29003846797,155415.5760920644
2020-04-01,10039.0,10039.0
2020-05-01,9779.0,9779.0
2020-06-01,11817.0,11817.0
2020-07-01,13484.0,13484.0
2020-08-01,15357.0,15357.0
2020-09-01,25389.528915275994,12572.49268292683
2020-10-01,30538.524452566482,16680.78434895513
2020-11-01,58632.0,52865.0
2020-12-01,59432.0,55620.0
2021-01-01,104620.0,89960.0
2021-02-01,65463.0,52605.0
2021-03-01,105145.0549412881,85017.39633341735
2021-04-01,82067.86966045789,59743.1902214643
2021-05-01,79974.0,73873.0
2021-06-01,106436.0,95146.0
2021-07-01,108345.66433359256,97594.66433359256
2021-08-01,83251.0,72327.0
2021-09-01,74913.99999999996,67022.99999999996
2021-10-01,93745.0,83528.0
2021-11-01,116908.17755114578,98578.0
2021-12-01,246898.0,223569.1278011966
2022-01-01,151709.0,134303.0
2022-02-01,232198.4,193903.6
2022-03-01,296130.0,227886.0
2022-04-01,386778.0,292648.0
2022-05-01,356400.0,260013.0
