region,modelo_arima,p,d,q,P,D,Q,s,AIC,BIC,MAE_prueba,RMSE_prueba,convergio,estado
Vía terrestre,"ARIMA(1, 0, 1)",1,0,1,0,0,0,0,132.47155796047957,144.37849293016188,87230.42086490401,100865.3123208202,False,ok
Vía terrestre,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",0,0,1,0,1,1,12,222.61686816392697,231.0042398007172,87236.85725205283,95326.84439912687,True,ok
Vía terrestre,"SARIMA(1, 0, 1)x(0, 1, 1, 12)",1,0,1,0,1,1,12,124.06041232809058,135.24357451047754,141504.86039448,158533.88301911703,True,ok
Vía terrestre,"SARIMA(2, 0, 0)x(1, 1, 0, 12)",2,0,0,1,1,0,12,122.86321851731387,134.04638069970082,157522.70414819656,175520.61368409256,True,ok
Vía terrestre,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",1,1,1,1,1,1,12,127.32028410835173,141.25774282226195,174582.69939574623,191966.47374153405,True,ok
Vía marítima,"ARIMA(1, 1, 1)",1,1,1,0,0,0,0,616.7737301279617,625.6831700266897,857.1250078198449,1731.0118168879123,True,ok
Vía marítima,"SARIMA(0, 1, 1)x(0, 1, 1, 12)",0,1,1,0,1,1,12,514.4694693225666,522.8319445509128,858.3650793650794,1731.9296926600284,True,ok
Vía marítima,"SARIMA(1, 1, 1)x(0, 1, 1, 12)",1,1,1,0,1,1,12,516.2902351320679,527.440202103196,858.3650793650794,1731.9296926600284,True,ok
Vía marítima,"SARIMA(2, 1, 0)x(1, 1, 0, 12)",2,1,0,1,1,0,12,520.4079583528965,531.5579253240246,858.3650793650794,1731.9296926600284,True,ok
Vía marítima,"SARIMA(1, 0, 1)x(1, 1, 1, 12)",1,0,1,1,1,1,12,504.6265640078639,518.6055167358476,858.3650793650794,1731.9296926600284,True,ok
