region,modelo,configuracion,MAE,RMSE,AIC,BIC,mejor_por_rmse,seleccion_final
Vía terrestre,ARIMA/SARIMA seleccionado,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",87236.85725205283,95326.84439912687,222.61686816392697,231.0042398007172,True,False
Vía terrestre,Seasonal naïve,,160013.0073808149,176652.99218092876,,,False,False
Vía terrestre,Suavizamiento exponencial simple,,140734.79682626412,156651.92436093677,3120.974073004264,3126.9549381778215,False,False
Vía terrestre,Holt-Winters,,143667.40143398495,158576.23666358282,3072.7989893406516,3123.63634331589,False,True
Vía terrestre,Prophet,,176520.235165538,192901.4496815335,,,False,False
Vía marítima,ARIMA/SARIMA seleccionado,"ARIMA(1, 1, 1)",857.1250078198449,1731.0118168879123,616.7737301279617,625.6831700266897,False,False
Vía marítima,Seasonal naïve,,858.3650793650794,1731.9296926600284,,,False,False
Vía marítima,Suavizamiento exponencial simple,,858.36506449617,1731.9296813366095,2569.2522214687224,2575.23308664228,False,False
Vía marítima,Holt-Winters,,902.6256960090034,1685.0630411006046,2506.0299724261213,2556.8673264013596,True,True
Vía marítima,Prophet,,944.2936275122248,1785.3364830037276,,,False,False
