region,modelo,inicio_train,fin_train,inicio_prueba,fin_prueba,n_train,n_prueba,MAE,RMSE,AIC,BIC,escala_AIC_BIC,configuracion,escala_residuos,media_residuos,desviacion_residuos,ljung_box_p_12,jarque_bera_p,mejor_por_rmse,seleccion_final
Vía terrestre,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,87236.85725205283,95326.84439912687,222.61686816392697,231.0042398007172,log1p,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",log1p,0.08608952764306561,0.5601184807097417,1.786832267068623e-31,2.6784156815574333e-145,True,False
Vía terrestre,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,160013.0073808149,176652.99218092876,,,no aplica,,original,-5445.953581869057,79060.28353796339,4.123066647665229e-70,1.0110931071356879e-79,False,False
Vía terrestre,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,140734.79682626412,156651.92436093677,3120.974073004264,3126.9549381778215,original,,original,-431.0576284743343,40348.44587982459,1.3392015305194206e-15,1.429800984339053e-17,False,False
Vía terrestre,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,143667.40143398495,158576.23666358282,3072.7989893406516,3123.63634331589,original,,original,-408.4096314987969,30926.731367152806,0.10990123859476668,3.797377180826448e-117,False,True
Vía terrestre,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,176520.235165538,192901.4496815335,,,no disponible,,original,24.089445918011652,42836.38317097578,1.2801132120158484e-46,1.1985397516673932e-16,False,False
Vía marítima,ARIMA/SARIMA seleccionado,2009-01,2021-03,2021-04,2026-06,147,63,857.1250078198449,1731.0118168879123,616.7737301279617,625.6831700266897,log1p,"ARIMA(1, 1, 1)",log1p,-0.22827008234776114,2.1154962814578617,7.598509597724588e-05,1.0429480265636127e-53,False,False
Vía marítima,Seasonal naïve,2009-01,2021-03,2021-04,2026-06,147,63,858.3650793650794,1731.9296926600284,,,no aplica,,original,-694.1037037037037,5891.30320488191,5.609740908119574e-09,3.6319478514507004e-13,False,False
Vía marítima,Suavizamiento exponencial simple,2009-01,2021-03,2021-04,2026-06,147,63,858.36506449617,1731.9296813366095,2569.2522214687224,2575.23308664228,original,,original,-109.78244657294373,6177.084569773201,6.266905674599029e-18,0.7888386287500467,False,False
Vía marítima,Holt-Winters,2009-01,2021-03,2021-04,2026-06,147,63,902.6256960090034,1685.0630411006046,2506.0299724261213,2556.8673264013596,original,,original,-91.80081676836649,4498.361855006188,0.002011339891860624,0.22972683244735317,True,True
Vía marítima,Prophet,2009-01,2021-03,2021-04,2026-06,147,63,944.2936275122248,1785.3364830037276,,,no disponible,,original,54.32822626913847,3769.0779874199256,2.4673631595906488e-05,0.002715579758768564,False,False
