region,modelo,configuracion,escala_residuos,media_residuos,desviacion_residuos,ljung_box_p_12,jarque_bera_p,seleccion_final
Vía terrestre,ARIMA/SARIMA seleccionado,"SARIMA(0, 0, 1)x(0, 1, 1, 12)",log1p,0.08608952764306561,0.5601184807097417,1.786832267068623e-31,2.6784156815574333e-145,False
Vía terrestre,Seasonal naïve,,original,-5445.953581869057,79060.28353796339,4.123066647665229e-70,1.0110931071356879e-79,False
Vía terrestre,Suavizamiento exponencial simple,,original,-431.0576284743343,40348.44587982459,1.3392015305194206e-15,1.429800984339053e-17,False
Vía terrestre,Holt-Winters,,original,-408.4096314987969,30926.731367152806,0.10990123859476668,3.797377180826448e-117,True
Vía terrestre,Prophet,,original,24.089445918011652,42836.38317097578,1.2801132120158484e-46,1.1985397516673932e-16,False
Vía marítima,ARIMA/SARIMA seleccionado,"ARIMA(1, 1, 1)",log1p,-0.22827008234776114,2.1154962814578617,7.598509597724588e-05,1.0429480265636127e-53,False
Vía marítima,Seasonal naïve,,original,-694.1037037037037,5891.30320488191,5.609740908119574e-09,3.6319478514507004e-13,False
Vía marítima,Suavizamiento exponencial simple,,original,-109.78244657294373,6177.084569773201,6.266905674599029e-18,0.7888386287500467,False
Vía marítima,Holt-Winters,,original,-91.80081676836649,4498.361855006188,0.002011339891860624,0.22972683244735317,True
Vía marítima,Prophet,,original,54.32822626913847,3769.0779874199256,2.4673631595906488e-05,0.002715579758768564,False
