region,transformacion,adf_estadistico,p_valor,rezagos,observaciones
Vía terrestre,nivel,-2.768132117430964,0.06297202667936895,12,197
Vía terrestre,log1p,-3.0514139984900517,0.030364024429268922,13,196
Vía terrestre,primera_diferencia_log1p,-3.9052733726803797,0.001996378930515393,12,196
Vía terrestre,diferencia_estacional_log1p,-3.524573861347618,0.00737796351503162,14,183
Vía terrestre,diferencia_regular_y_estacional_log1p,-6.484108202408684,1.2734923821948468e-08,11,185
Vía marítima,nivel,-1.1124017790187888,0.7101009641562932,13,196
Vía marítima,log1p,-1.9624835613471825,0.3032610277684479,13,196
Vía marítima,primera_diferencia_log1p,-6.391624986077444,2.0990216271366213e-08,10,198
Vía marítima,diferencia_estacional_log1p,-3.745012589513252,0.003522761680148494,13,184
Vía marítima,diferencia_regular_y_estacional_log1p,-5.523026045890229,1.8591740816081413e-06,15,181
