region,modelo,residuo
Vía terrestre,Holt-Winters,-8423.300695541431
Vía terrestre,Holt-Winters,13022.661624786626
Vía terrestre,Holt-Winters,-17488.208526855815
Vía terrestre,Holt-Winters,11579.915289223922
Vía terrestre,Holt-Winters,-375.77539354092005
Vía terrestre,Holt-Winters,5246.692028596721
Vía terrestre,Holt-Winters,-21717.422495704945
Vía terrestre,Holt-Winters,15979.387510739616
Vía terrestre,Holt-Winters,17506.071611675936
Vía terrestre,Holt-Winters,-1467.9463470381743
Vía terrestre,Holt-Winters,290.69909949255816
Vía terrestre,Holt-Winters,-21659.412542819686
Vía terrestre,Holt-Winters,7647.5036574189435
Vía terrestre,Holt-Winters,12360.321614465509
Vía terrestre,Holt-Winters,-26627.93461305184
Vía terrestre,Holt-Winters,14691.439658364892
Vía terrestre,Holt-Winters,13530.53963781998
Vía terrestre,Holt-Winters,-9012.327426572723
Vía terrestre,Holt-Winters,11300.50607502021
Vía terrestre,Holt-Winters,-13887.402430936592
Vía terrestre,Holt-Winters,9272.119830376898
Vía terrestre,Holt-Winters,1958.3550913750223
Vía terrestre,Holt-Winters,2964.9184545619064
Vía terrestre,Holt-Winters,-11984.160848526459
Vía terrestre,Holt-Winters,6772.457913608916
Vía terrestre,Holt-Winters,8219.056384735144
Vía terrestre,Holt-Winters,-14957.565275234985
Vía terrestre,Holt-Winters,17842.336982895387
Vía terrestre,Holt-Winters,-5112.478814787653
Vía terrestre,Holt-Winters,-2675.08515139886
Vía terrestre,Holt-Winters,7095.732720551678
Vía terrestre,Holt-Winters,-27422.708904104322
Vía terrestre,Holt-Winters,23275.023400504906
Vía terrestre,Holt-Winters,-5926.648086809437
Vía terrestre,Holt-Winters,9971.648659704573
Vía terrestre,Holt-Winters,-2128.3528019305377
Vía terrestre,Holt-Winters,4560.1189202348905
Vía terrestre,Holt-Winters,5653.373718263436
Vía terrestre,Holt-Winters,-15217.997190986134
Vía terrestre,Holt-Winters,1325.4978101210436
Vía terrestre,Holt-Winters,2015.2597085806628
Vía terrestre,Holt-Winters,1116.216491712723
Vía terrestre,Holt-Winters,2813.9789770669886
Vía terrestre,Holt-Winters,-26955.21717837559
Vía terrestre,Holt-Winters,28493.751673630984
Vía terrestre,Holt-Winters,955.5291026630002
Vía terrestre,Holt-Winters,4239.759421121838
Vía terrestre,Holt-Winters,-15369.081582891842
Vía terrestre,Holt-Winters,-7896.422960188109
Vía terrestre,Holt-Winters,7862.601987717833
Vía terrestre,Holt-Winters,23657.41467941279
Vía terrestre,Holt-Winters,-19568.253933062762
Vía terrestre,Holt-Winters,29611.650239473893
Vía terrestre,Holt-Winters,-2110.3673371638433
Vía terrestre,Holt-Winters,-7254.1826923333865
Vía terrestre,Holt-Winters,-20553.81462042821
Vía terrestre,Holt-Winters,23573.2172922835
Vía terrestre,Holt-Winters,-19650.100323030623
Vía terrestre,Holt-Winters,9284.804760659012
Vía terrestre,Holt-Winters,-3666.011626749183
Vía terrestre,Holt-Winters,4924.435907032181
Vía terrestre,Holt-Winters,1148.4799751089595
Vía terrestre,Holt-Winters,-15345.331403582342
Vía terrestre,Holt-Winters,27674.83523152258
Vía terrestre,Holt-Winters,4287.367586294509
Vía terrestre,Holt-Winters,-15792.608348338035
Vía terrestre,Holt-Winters,18576.032535677907
Vía terrestre,Holt-Winters,-14643.603676785744
Vía terrestre,Holt-Winters,21493.369244005837
Vía terrestre,Holt-Winters,12400.854584804329
Vía terrestre,Holt-Winters,5499.676936924923
Vía terrestre,Holt-Winters,10288.833170506434
Vía terrestre,Holt-Winters,-27795.686759679666
Vía terrestre,Holt-Winters,-58.66174645330466
Vía terrestre,Holt-Winters,4983.412491688447
Vía terrestre,Holt-Winters,7851.2179749323695
Vía terrestre,Holt-Winters,12990.906803091319
Vía terrestre,Holt-Winters,-4445.935361684125
Vía terrestre,Holt-Winters,-10268.465925186843
Vía terrestre,Holt-Winters,-8991.37526765227
Vía terrestre,Holt-Winters,9203.899186654613
Vía terrestre,Holt-Winters,-3352.9666231758893
Vía terrestre,Holt-Winters,-9172.100111270673
Vía terrestre,Holt-Winters,18390.002775746834
Vía terrestre,Holt-Winters,-8749.739186966646
Vía terrestre,Holt-Winters,4549.220457698713
Vía terrestre,Holt-Winters,54656.29768510314
Vía terrestre,Holt-Winters,-63811.05494375879
Vía terrestre,Holt-Winters,26470.793176970823
Vía terrestre,Holt-Winters,-663.0215594313631
Vía terrestre,Holt-Winters,10447.069544380502
Vía terrestre,Holt-Winters,-673.9548552496126
Vía terrestre,Holt-Winters,-15143.737718960008
Vía terrestre,Holt-Winters,44871.848146325705
Vía terrestre,Holt-Winters,-1032.609750153002
Vía terrestre,Holt-Winters,25065.838655932515
Vía terrestre,Holt-Winters,-26921.48796199073
Vía terrestre,Holt-Winters,-8708.721080575313
Vía terrestre,Holt-Winters,22019.81872192587
Vía terrestre,Holt-Winters,47570.62571478385
Vía terrestre,Holt-Winters,-47341.255369267164
Vía terrestre,Holt-Winters,-12994.798061062
Vía terrestre,Holt-Winters,24184.326853862003
Vía terrestre,Holt-Winters,58146.2857504602
Vía terrestre,Holt-Winters,-96172.72950991304
Vía terrestre,Holt-Winters,-21596.820747574995
Vía terrestre,Holt-Winters,13666.544955851248
Vía terrestre,Holt-Winters,12034.35347165956
Vía terrestre,Holt-Winters,4537.335709322506
Vía terrestre,Holt-Winters,-69.9629739499942
Vía terrestre,Holt-Winters,89251.43684279753
Vía terrestre,Holt-Winters,-16106.706799105974
Vía terrestre,Holt-Winters,-47993.574078438134
Vía terrestre,Holt-Winters,17350.76987055983
Vía terrestre,Holt-Winters,-7115.39630474968
Vía terrestre,Holt-Winters,20448.009643990168
Vía terrestre,Holt-Winters,-26536.47423528912
Vía terrestre,Holt-Winters,-23186.052966096584
Vía terrestre,Holt-Winters,-4475.528081862896
Vía terrestre,Holt-Winters,33844.38365826834
Vía terrestre,Holt-Winters,18539.689235651836
Vía terrestre,Holt-Winters,-19732.955131932744
Vía terrestre,Holt-Winters,25327.075934700028
Vía terrestre,Holt-Winters,38656.35102431453
Vía terrestre,Holt-Winters,-49942.783443169144
Vía terrestre,Holt-Winters,8793.200768823124
Vía terrestre,Holt-Winters,39557.078965944616
Vía terrestre,Holt-Winters,19685.083074403054
Vía terrestre,Holt-Winters,-46552.89935867209
Vía terrestre,Holt-Winters,-46463.590642213385
Vía terrestre,Holt-Winters,30615.685994363972
Vía terrestre,Holt-Winters,63116.58566541056
Vía terrestre,Holt-Winters,4395.1637841750635
Vía terrestre,Holt-Winters,-20452.486113119638
Vía terrestre,Holt-Winters,-176763.38764440338
Vía terrestre,Holt-Winters,-129753.81202927165
Vía terrestre,Holt-Winters,11785.979419333686
Vía terrestre,Holt-Winters,-3707.6153638110864
Vía terrestre,Holt-Winters,-10936.08652909697
Vía terrestre,Holt-Winters,-21335.52869031734
Vía terrestre,Holt-Winters,50045.42955116264
Vía terrestre,Holt-Winters,-5809.633054872924
Vía terrestre,Holt-Winters,-12350.940178029094
Vía terrestre,Holt-Winters,-61098.22315221798
Vía terrestre,Holt-Winters,76044.29260931096
Vía terrestre,Holt-Winters,20673.31069324391
Vía terrestre,Holt-Winters,-18621.505304511447
Vía marítima,Holt-Winters,3322.9865817191658
Vía marítima,Holt-Winters,2509.2491742628426
Vía marítima,Holt-Winters,-862.4764470149967
Vía marítima,Holt-Winters,-3585.399040765298
Vía marítima,Holt-Winters,-480.61024090580304
Vía marítima,Holt-Winters,-1029.5217275954428
Vía marítima,Holt-Winters,-262.91359992282014
Vía marítima,Holt-Winters,-2143.650475819344
Vía marítima,Holt-Winters,878.0313418841824
Vía marítima,Holt-Winters,-1954.962740507619
Vía marítima,Holt-Winters,4072.135535793899
Vía marítima,Holt-Winters,973.7531298103877
Vía marítima,Holt-Winters,3719.0931510376195
Vía marítima,Holt-Winters,-2447.4354979530945
Vía marítima,Holt-Winters,-74.55025483529607
Vía marítima,Holt-Winters,-3811.5233588333776
Vía marítima,Holt-Winters,-3035.672222863549
Vía marítima,Holt-Winters,1841.997705962348
Vía marítima,Holt-Winters,1173.659475269198
Vía marítima,Holt-Winters,-1900.0195153377172
Vía marítima,Holt-Winters,1513.9605532387714
Vía marítima,Holt-Winters,3531.731331924536
Vía marítima,Holt-Winters,485.94297146397
Vía marítima,Holt-Winters,2096.2857901997813
Vía marítima,Holt-Winters,-5248.632958950211
Vía marítima,Holt-Winters,2238.7840565592496
Vía marítima,Holt-Winters,-1232.0926898256057
Vía marítima,Holt-Winters,9216.377374898992
Vía marítima,Holt-Winters,46.50384599197969
Vía marítima,Holt-Winters,-1514.9705184482873
Vía marítima,Holt-Winters,-1887.2384970320772
Vía marítima,Holt-Winters,801.411569220385
Vía marítima,Holt-Winters,-1848.3647532857021
Vía marítima,Holt-Winters,487.6472507285016
Vía marítima,Holt-Winters,-5414.200461327662
Vía marítima,Holt-Winters,-4489.226895429732
Vía marítima,Holt-Winters,363.58997814413397
Vía marítima,Holt-Winters,1162.0711957350131
Vía marítima,Holt-Winters,-1597.3860028889003
Vía marítima,Holt-Winters,156.54808198597857
Vía marítima,Holt-Winters,7587.676542395404
Vía marítima,Holt-Winters,367.1334290061113
Vía marítima,Holt-Winters,1386.4837600001083
Vía marítima,Holt-Winters,5617.000675066734
Vía marítima,Holt-Winters,-1981.4458569852977
Vía marítima,Holt-Winters,-2023.060443247211
Vía marítima,Holt-Winters,-336.5628340414296
Vía marítima,Holt-Winters,2052.5719598023134
Vía marítima,Holt-Winters,-954.8544247288482
Vía marítima,Holt-Winters,-894.8664813264841
Vía marítima,Holt-Winters,6686.911825731062
Vía marítima,Holt-Winters,-2946.5684357265836
Vía marítima,Holt-Winters,-3499.6583131634507
Vía marítima,Holt-Winters,-394.0486173082372
Vía marítima,Holt-Winters,742.7302719134959
Vía marítima,Holt-Winters,-8487.051524492097
Vía marítima,Holt-Winters,3877.5038635974215
Vía marítima,Holt-Winters,94.48094261703136
Vía marítima,Holt-Winters,4854.3730074514515
Vía marítima,Holt-Winters,-2345.963916638244
Vía marítima,Holt-Winters,4748.448136748291
Vía marítima,Holt-Winters,-445.6629455112252
Vía marítima,Holt-Winters,1653.0627759014405
Vía marítima,Holt-Winters,1883.077267835126
Vía marítima,Holt-Winters,-3846.42467537797
Vía marítima,Holt-Winters,-591.0276268486823
Vía marítima,Holt-Winters,-563.4539470032105
Vía marítima,Holt-Winters,-6324.66043891023
Vía marítima,Holt-Winters,1937.5073641127556
Vía marítima,Holt-Winters,-934.0278786820545
Vía marítima,Holt-Winters,3966.4105984956277
Vía marítima,Holt-Winters,-2421.3679291198023
Vía marítima,Holt-Winters,-2004.0024007614575
Vía marítima,Holt-Winters,2975.383826315434
Vía marítima,Holt-Winters,3164.641021709893
Vía marítima,Holt-Winters,11128.498874776078
Vía marítima,Holt-Winters,-398.8089084491312
Vía marítima,Holt-Winters,-2394.8018376071423
Vía marítima,Holt-Winters,-1899.1723429312697
Vía marítima,Holt-Winters,-2007.1312344894304
Vía marítima,Holt-Winters,-2125.7875182157395
Vía marítima,Holt-Winters,-222.38344996051273
Vía marítima,Holt-Winters,-5285.879263675557
Vía marítima,Holt-Winters,-4548.129240606275
Vía marítima,Holt-Winters,2013.0705762358239
Vía marítima,Holt-Winters,5841.385165976045
Vía marítima,Holt-Winters,3326.6884738426434
Vía marítima,Holt-Winters,-1880.5087906447661
Vía marítima,Holt-Winters,4466.123873230209
Vía marítima,Holt-Winters,-329.1714797213208
Vía marítima,Holt-Winters,-318.8199468649327
Vía marítima,Holt-Winters,3427.5336037823654
Vía marítima,Holt-Winters,-2713.5975105628695
Vía marítima,Holt-Winters,-1248.89741750137
Vía marítima,Holt-Winters,4865.743239834957
Vía marítima,Holt-Winters,7544.0287159897925
Vía marítima,Holt-Winters,2418.322105556068
Vía marítima,Holt-Winters,-2958.5664371132098
Vía marítima,Holt-Winters,-5928.537207749985
Vía marítima,Holt-Winters,4636.071222781102
Vía marítima,Holt-Winters,-4664.954624231099
Vía marítima,Holt-Winters,-1388.7038051754698
Vía marítima,Holt-Winters,-1263.1673885642322
Vía marítima,Holt-Winters,-9773.462442677801
Vía marítima,Holt-Winters,5718.38706041692
Vía marítima,Holt-Winters,9624.198756537236
Vía marítima,Holt-Winters,86.84670729094069
Vía marítima,Holt-Winters,7385.774730092249
Vía marítima,Holt-Winters,12135.217703236696
Vía marítima,Holt-Winters,-3073.901036513078
Vía marítima,Holt-Winters,-2554.6604093054375
Vía marítima,Holt-Winters,-2921.473455019255
Vía marítima,Holt-Winters,-3454.531680665712
Vía marítima,Holt-Winters,-3836.044906272158
Vía marítima,Holt-Winters,-4969.457145687879
Vía marítima,Holt-Winters,-7910.08150599273
Vía marítima,Holt-Winters,482.459785362028
Vía marítima,Holt-Winters,9922.670748486007
Vía marítima,Holt-Winters,2520.5599626761978
Vía marítima,Holt-Winters,155.65530887211207
Vía marítima,Holt-Winters,5019.286976310319
Vía marítima,Holt-Winters,-956.6473131204712
Vía marítima,Holt-Winters,4876.779449205607
Vía marítima,Holt-Winters,-3433.018556760886
Vía marítima,Holt-Winters,-8625.421297417779
Vía marítima,Holt-Winters,-2148.044573793295
Vía marítima,Holt-Winters,359.9861909645142
Vía marítima,Holt-Winters,-6520.004540480104
Vía marítima,Holt-Winters,-671.9421669280082
Vía marítima,Holt-Winters,9999.330597734248
Vía marítima,Holt-Winters,7972.011591649494
Vía marítima,Holt-Winters,-13231.475467758937
Vía marítima,Holt-Winters,2404.8486437698593
Vía marítima,Holt-Winters,5957.5003207044265
Vía marítima,Holt-Winters,-9207.305933281299
Vía marítima,Holt-Winters,-13515.418519835799
Vía marítima,Holt-Winters,1492.7622832856387
Vía marítima,Holt-Winters,4849.858347563417
Vía marítima,Holt-Winters,2309.81056718542
Vía marítima,Holt-Winters,-1718.4047522136889
Vía marítima,Holt-Winters,-230.46260435847307
Vía marítima,Holt-Winters,-7887.27917926454
Vía marítima,Holt-Winters,-9648.38376462688
Vía marítima,Holt-Winters,-5421.2632564991245
Vía marítima,Holt-Winters,-5857.775625735388
Vía marítima,Holt-Winters,2438.22932752204
Vía marítima,Holt-Winters,1897.5167873371183
